year,avg_hrly_pay_1,avg_hrly_pay_2,avg_hrly_pay_3,avg_hrly_pay_4,avg_hrly_pay_5,avg_weekpay_1,avg_weekpay_2,avg_weekpay_3,avg_weekpay_4,avg_weekpay_5,avg_hrs_1,avg_hrs_2,avg_hrs_3,avg_hrs_4,avg_hrs_5,n_1,n_2,n_3,n_4,n_5,wgt_n_1,wgt_n_2,wgt_n_3,wgt_n_4,wgt_n_5,epop_1,epop_2,epop_3,epop_4,epop_5,cutoffs_1,cutoffs_2,cutoffs_3,cutoffs_4,cutoffs_5
1994,0,3.3935522332398227,11.678603705287314,18.89074649418193,38.47266207602756,0,119.5817900985224,469.5591415079087,796.5812727124451,1595.5249464472017,0,13.296440348355459,36.70019608285064,40.20975073468784,41.35446330174124,46038,47308,44369,47299,45370,29253720.04433314,30377813.61676407,28285991.45236969,29797873.444458008,28551339.12555949,0,0.45984678462155715,1,1,1,0,8.556818181818182,14.54659090909091,23.95909090909091,197.46283742731248
1995,0,3.466753975742696,11.751713930062804,18.875208091563866,37.90004025840075,0,123.31720629256316,468.50697956654193,795.3273045600645,1597.769970679868,0,13.761547458786662,36.7458706201861,40.12199614292834,41.50956047759128,45648,45313,44922,46149,46232,29557639.544965107,29674575.969646454,29440277.599526722,29562982.026842754,29549183.740356445,0,0.4726123922246781,1,1,1,0,8.773302263648468,15.023235303266699,24.09733701164959,194.7391389117899
1996,0,3.6690246695894415,11.892796402541379,18.94986539529637,37.939860293302736,0,130.2523442774693,473.51681859182014,798.4489431878766,1608.9698526643717,0,14.57188032709934,36.71875156429894,40.31471026712613,41.6005730800583,40378,40477,39954,40917,40483,29879943.8605601,30228486.931569416,29580727.9565684,29828453.564175922,29878672.54779307,0,0.49334408051725537,1,1,1,0,8.9526588845655,14.649805447470817,24.346710234764515,199.12884114781266
1997,0,4.539744996912887,12.452298077018613,19.345064182062647,38.88426694590063,0,160.88057908027722,499.28653208830787,814.6367866109505,1654.769225126847,0,17.106974424088516,37.50057231080469,40.317525773195875,41.94720648564173,41235,44104,37567,41225,40952,30372341.072848003,32965803.281280518,27817293.845344543,30334989.614435833,30368491.163533527,0,0.5646354289329579,1,1,1,0,9.559881506559456,15.320107859168774,24.28209866198054,191.5030257700871
1998,0,4.551530588709167,12.96255090439925,20.285587820857234,40.25527437558802,0,159.75747167385424,518.3872432379311,862.6787230990666,1717.7970917817738,0,16.642398648648648,36.98769574944072,40.350692255314854,41.671333300642374,40777,41440,42912,39653,40786,30770670.410476685,31235312.573506672,32034349.5974528,29321447.17332713,30489526.65032196,0,0.5532835879423299,1,1,1,0,9.825156576200419,15.720250521920669,25.15240083507307,198.3462479019964
1999,0,4.6766793715662685,13.145928513514797,20.583507910756104,41.294979368811035,0,NA,NA,NA,NA,0,16.91270878721859,37.23041995059405,40.650631810384404,41.928540587219345,41490,41310,42505,41389,41688,31296701.437151592,31295877.23368581,31829206.82240041,30817986.645662945,31240522.18872579,0,0.5579714531522116,1,1,1,0,10.184689484359975,16.162101390024528,25.90053679605822,197.33874407539724
2000,0,5.112818502231599,13.542173646141784,20.891957366622556,42.13919897203283,0,185.4419990314629,546.0983448689624,889.4536922858653,1801.1215332350605,0,18.500554486816792,37.66100545124167,40.88352079899156,42.13567559725312,41645,44185,41275,41252,41356,32021990.643252056,33873988.32620239,31387556.19018809,31069001.184669495,31756159.63917033,0,0.5911304633519269,1,1,1,0,10.421115065243178,16.37603795966785,26.052787663107946,195.94797996439553
2001,0,4.396819555669998,13.33110644063977,20.847603235513265,42.55853578256314,0,157.20619453535406,533.5141117341276,883.0047750632016,1807.3479095270168,0,15.893737843457265,36.93509775236068,40.30889381299965,41.58444676641248,43947,44729,45114,46032,44981,32509936.76051585,32853385.47944641,32218995.61612447,32538808.60397212,32427604.82646052,0,0.5205517005237538,1,1,1,0,10.132641291810842,16.501729551621136,26.055363321799305,198.72385194419806
2002,0,3.829981513382388,13.245894643687773,20.883934687083485,43.21717751022395,0,137.12380543574895,522.3707812242766,879.5819765536642,1827.7361293080892,0,13.906919019547006,36.53840543004761,40.1625102330132,41.54756858232908,47634,48345,49355,50083,49539,33006289.180440266,33413729.65430196,32862872.6483078,32745520.434076946,32998903.553962708,0,0.4610898373345702,1,1,1,0,9.975397426192279,16.442661292619697,26.67706185267967,199.31028973956995
2003,0,3.3521924708814503,13.05032746390642,20.810441280294377,43.107984145488714,0,119.25078839712205,511.51067474684686,870.2525747249481,1820.7983299505736,0,12.282821302171682,36.21711009548682,40.00476332835077,41.55150499621963,47401,47751,49012,50175,48937,33454787.270931244,33708534.31361135,33211455.51276652,33453677.936965942,33444992.163398743,0,0.41565050787782937,1,1,1,0,9.753886010362693,16.546770910436713,26.76744876130263,194.2666044030522
