year,month,date,cpi_u_rs
2019,1,1/1/2019,370.7054408
2019,2,2/1/2019,372.2724324
2019,3,3/1/2019,374.3725546
2019,4,4/1/2019,376.3548578
2019,5,5/1/2019,377.1560265
2019,6,6/1/2019,377.231136
2019,7,7/1/2019,377.8614672
2019,8,8/1/2019,377.8
2019,9,9/1/2019,378.1
2019,10,10/1/2019,379
2019,11,11/1/2019,378.8
2019,12,12/1/2019,378.5
2020,1,1/1/2020,379.968
2020,2,2/1/2020,381.01
2020,3,3/1/2020,380.181
2020,4,4/1/2020,377.638
2020,5,5/1/2020,377.646
2020,6,6/1/2020,379.712
2020,7,7/1/2020,381.633
2020,8,8/1/2020,382.836
2020,9,9/1/2020,383.369
2020,10,10/1/2020,383.529
2020,11,11/1/2020,383.294
2020,12,12/1/2020,383.655
2021,1,1/1/2021,385.287
2021,2,2/1/2021,387.396
2021,3,3/1/2021,390.14
2021,4,4/1/2021,393.347
2021,5,5/1/2021,396.5
2021,6,6/1/2021,400.184
