year,month,cpi_u,cpi_u_nsa,cpi_u_core,cpi_u_core_nsa,cpiurs,cpiurs_nsa,cpiurs_core,cpiurs_core_nsa
1947,1,21.48,21.5,NA,NA,36.2827594609835,36.31654229102166,NA,NA
1947,2,21.62,21.5,NA,NA,36.51923927125062,36.31654229102166,NA,NA
1947,3,22,21.9,NA,NA,37.16111305116134,36.992198900928784,NA,NA
1947,4,22,21.9,NA,NA,37.16111305116134,36.992198900928784,NA,NA
1947,5,21.95,21.9,NA,NA,37.07665597604506,36.992198900928784,NA,NA
1947,6,22.08,22,NA,NA,37.29624436971571,37.16111304953559,NA,NA
1947,7,22.23,22.2,NA,NA,37.54961559181239,37.49894134674921,NA,NA
1947,8,22.4,22.5,NA,NA,37.83676964238044,38.00568379256964,NA,NA
1947,9,22.84,23,NA,NA,38.57999191072821,38.85025455108357,NA,NA
1947,10,22.91,23,NA,NA,38.69823181588368,38.85025455108357,NA,NA
1947,11,23.06,23.1,NA,NA,38.95160303960433,39.01916869969038,NA,NA
1947,12,23.41,23.4,NA,NA,39.54280256053027,39.52591114551082,NA,NA
1948,1,23.68,23.7,NA,NA,39.99887076129637,40.03265359133125,NA,NA
1948,2,23.67,23.5,NA,NA,39.98197934943678,39.69482529411763,NA,NA
1948,3,23.5,23.4,NA,NA,39.69482529570531,39.52591114551082,NA,NA
1948,4,23.82,23.8,NA,NA,40.23535058546451,40.20156775541794,NA,NA
1948,5,24.01,23.9,NA,NA,40.556287469273414,40.37048190402476,NA,NA
1948,6,24.15,24.1,NA,NA,40.79276727634468,40.708310201238376,NA,NA
1948,7,24.4,24.4,NA,NA,41.21505264705881,41.21505264705881,NA,NA
1948,8,24.43,24.5,NA,NA,41.26572689053515,41.38396679566562,NA,NA
1948,9,24.36,24.5,NA,NA,41.14748698540467,41.38396679566562,NA,NA
1948,10,24.31,24.4,NA,NA,41.06302991188524,41.21505264705881,NA,NA
1948,11,24.16,24.2,NA,NA,40.8096586897628,40.877224349845186,NA,NA
1948,12,24.05,24.1,NA,NA,40.62385312613207,40.708310201238376,NA,NA
1949,1,24.01,24,NA,NA,40.556287467653505,40.539396052631574,NA,NA
1949,2,23.91,23.8,NA,NA,40.38737332067408,40.20156775541795,NA,NA
1949,3,23.91,23.8,NA,NA,40.38737332067408,40.20156775541795,NA,NA
1949,4,23.92,23.9,NA,NA,40.40426473406998,40.370481904024764,NA,NA
1949,5,23.91,23.8,NA,NA,40.38737332067408,40.20156775541795,NA,NA
1949,6,23.92,23.9,NA,NA,40.40426473406998,40.370481904024764,NA,NA
1949,7,23.7,23.7,NA,NA,40.03265359133126,40.03265359133126,NA,NA
1949,8,23.7,23.8,NA,NA,40.0326536051851,40.20156775541795,NA,NA
1949,9,23.75,23.9,NA,NA,40.1171106786857,40.370481904024764,NA,NA
1949,10,23.67,23.7,NA,NA,39.98197934627895,40.03265359133126,NA,NA
1949,11,23.7,23.8,NA,NA,40.0326536051851,40.20156775541795,NA,NA
1949,12,23.61,23.6,NA,NA,39.88063085774255,39.86373944272445,NA,NA
1950,1,23.51,23.5,NA,NA,39.71171670913642,39.69482529411764,NA,NA
1950,2,23.61,23.5,NA,NA,39.88063085932415,39.69482529411764,NA,NA
1950,3,23.64,23.6,NA,NA,39.93130510279687,39.86373944272446,NA,NA
1950,4,23.65,23.6,NA,NA,39.94819651781497,39.86373944272446,NA,NA
1950,5,23.77,23.7,NA,NA,40.150893496453335,40.03265359133126,NA,NA
1950,6,23.88,23.8,NA,NA,40.33669907560422,40.20156775541795,NA,NA
1950,7,24.07,24.1,NA,NA,40.657635956174595,40.708310201238376,NA,NA
1950,8,24.2,24.3,NA,NA,40.87722434825261,41.046138498452,NA,NA
1950,9,24.34,24.4,NA,NA,41.11370415694309,41.21505264705881,NA,NA
1950,10,24.5,24.6,NA,NA,41.38396679409246,41.55288094427243,NA,NA
1950,11,24.6,24.7,NA,NA,41.552880958122856,41.721795108359125,NA,NA
1950,12,24.98,25,NA,NA,42.19475472413622,42.22853755417956,NA,NA
1951,1,25.38,25.4,NA,NA,42.87041131856853,42.904194148606805,NA,NA
1951,2,25.83,25.7,NA,NA,43.63052500521014,43.41093660990711,NA,NA
1951,3,25.88,25.8,NA,NA,43.71498207869536,43.57985075851392,NA,NA
1951,4,25.92,25.8,NA,NA,43.78254773878608,43.57985075851392,NA,NA
1951,5,25.99,25.9,NA,NA,43.90078764231922,43.74876490712074,NA,NA
1951,6,25.93,25.9,NA,NA,43.7994391521869,43.74876490712074,NA,NA
1951,7,25.91,25.9,NA,NA,43.765656322142796,43.74876490712074,NA,NA
1951,8,25.86,25.9,NA,NA,43.681199247032524,43.74876490712074,NA,NA
1951,9,26.03,26.1,NA,NA,43.968353299188635,44.08659320433436,NA,NA
1951,10,26.16,26.2,NA,NA,44.18794169286034,44.25550735294117,NA,NA
1951,11,26.32,26.4,NA,NA,44.458204330002815,44.5933356501548,NA,NA
1951,12,26.47,26.5,NA,NA,44.7115755537064,44.76224979876161,NA,NA
1952,1,26.45,26.5,NA,NA,44.677792723669604,44.76224979876161,NA,NA
1952,2,26.41,26.3,NA,NA,44.610227066763585,44.42442150154798,NA,NA
1952,3,26.39,26.3,NA,NA,44.576444236724384,44.42442150154798,NA,NA
1952,4,26.46,26.4,NA,NA,44.694684140268784,44.59333565015479,NA,NA
1952,5,26.47,26.4,NA,NA,44.71157555528778,44.59333565015479,NA,NA
1952,6,26.53,26.5,NA,NA,44.81292404381681,44.7622497987616,NA,NA
1952,7,26.68,26.7,NA,NA,45.06629528140906,45.1000781114551,NA,NA
1952,8,26.69,26.7,NA,NA,45.08318669643208,45.1000781114551,NA,NA
1952,9,26.63,26.7,NA,NA,44.98183820629398,45.1000781114551,NA,NA
1952,10,26.69,26.7,NA,NA,45.08318669643208,45.1000781114551,NA,NA
1952,11,26.69,26.7,NA,NA,45.08318669643208,45.1000781114551,NA,NA
1952,12,26.71,26.7,NA,NA,45.116969526478115,45.1000781114551,NA,NA
1953,1,26.64,26.6,NA,NA,44.99872960743965,44.93116394736842,NA,NA
1953,2,26.59,26.5,NA,NA,44.91427253392721,44.76224979876161,NA,NA
1953,3,26.63,26.6,NA,NA,44.98183819242185,44.931163947368425,NA,NA
1953,4,26.69,26.6,NA,NA,45.08318668252869,44.931163947368425,NA,NA
1953,5,26.7,26.7,NA,NA,45.100078111455105,45.100078111455105,NA,NA
1953,6,26.77,26.8,NA,NA,45.21831801499468,45.268992260061914,NA,NA
1953,7,26.79,26.8,NA,NA,45.2521008450395,45.268992260061914,NA,NA
1953,8,26.85,26.9,NA,NA,45.35344933355968,45.437906408668724,NA,NA
1953,9,26.89,26.9,NA,NA,45.42101499364692,45.437906408668724,NA,NA
1953,10,26.95,27,NA,NA,45.52236348216947,45.60682055727553,NA,NA
1953,11,26.85,26.9,NA,NA,45.35344933355969,45.43790640866873,NA,NA
1953,12,26.87,26.9,NA,NA,45.3872321636033,45.43790640866873,NA,NA
1954,1,26.94,26.9,NA,NA,45.50547206875597,45.43790640866873,NA,NA
1954,2,26.99,26.9,NA,NA,45.58992914386502,45.43790640866873,NA,NA
1954,3,26.93,26.9,NA,NA,45.48858065373416,45.43790640866873,NA,NA
1954,4,26.86,26.8,NA,NA,45.370340750196384,45.26899226006192,NA,NA
1954,5,26.93,26.9,NA,NA,45.48858065373416,45.43790640866873,NA,NA
1954,6,26.94,26.9,NA,NA,45.50547206875597,45.43790640866873,NA,NA
1954,7,26.86,26.9,NA,NA,45.3703407485815,45.43790640866873,NA,NA
1954,8,26.85,26.9,NA,NA,45.35344933355969,45.43790640866873,NA,NA
1954,9,26.81,26.8,NA,NA,45.28588367508433,45.26899226006192,NA,NA
1954,10,26.72,26.8,NA,NA,45.13386093988263,45.26899226006192,NA,NA
1954,11,26.78,26.8,NA,NA,45.2352094300171,45.26899226006192,NA,NA
1954,12,26.77,26.7,NA,NA,45.21831801661623,45.10007811145511,NA,NA
1955,1,26.77,26.7,NA,NA,45.21831801661623,45.10007811145511,NA,NA
1955,2,26.82,26.7,NA,NA,45.30277509173131,45.10007811145511,NA,NA
1955,3,26.79,26.7,NA,NA,45.252100846662266,45.10007811145511,NA,NA
1955,4,26.79,26.7,NA,NA,45.252100846662266,45.10007811145511,NA,NA
1955,5,26.77,26.7,NA,NA,45.21831801661623,45.10007811145511,NA,NA
1955,6,26.71,26.7,NA,NA,45.11696952647813,45.10007811145511,NA,NA
1955,7,26.76,26.8,NA,NA,45.20142659997228,45.26899226006192,NA,NA
1955,8,26.72,26.8,NA,NA,45.13386093988263,45.26899226006192,NA,NA
1955,9,26.85,26.9,NA,NA,45.35344933355969,45.43790640866873,NA,NA
1955,10,26.82,26.9,NA,NA,45.30277508849425,45.43790640866873,NA,NA
1955,11,26.88,26.9,NA,NA,45.40412357862511,45.43790640866873,NA,NA
1955,12,26.87,26.8,NA,NA,45.3872321652188,45.26899226006192,NA,NA
1956,1,26.83,26.8,NA,NA,45.31966650512915,45.26899226006192,NA,NA
1956,2,26.86,26.8,NA,NA,45.370340750196384,45.26899226006192,NA,NA
1956,3,26.89,26.8,NA,NA,45.42101499526362,45.26899226006192,NA,NA
1956,4,26.93,26.9,NA,NA,45.48858065373416,45.43790640866873,NA,NA
1956,5,27.03,27,NA,NA,45.65749480233918,45.60682055727554,NA,NA
1956,6,27.15,27.2,NA,NA,45.860191779389,45.94464885448917,NA,NA
1956,7,27.29,27.4,NA,NA,46.09667158649523,46.28247715170279,NA,NA
1956,8,27.31,27.3,NA,NA,46.13045441811543,46.11356300309598,NA,NA
1956,9,27.35,27.4,NA,NA,46.19802007660845,46.28247715170279,NA,NA
1956,10,27.51,27.5,NA,NA,46.468282715327895,46.451391300309595,NA,NA
1956,11,27.51,27.5,NA,NA,46.468282715327895,46.451391300309595,NA,NA
1956,12,27.63,27.6,NA,NA,46.67097970946627,46.62030546439628,NA,NA
1957,1,27.67,27.6,28.5,28.5,46.7385453695596,46.62030546439628,NA,NA
1957,2,27.8,27.7,28.6,28.5,46.95813376323055,46.7892196130031,NA,NA
1957,3,27.86,27.8,28.7,28.7,47.059482251742885,46.958133761609915,NA,NA
1957,4,27.93,27.9,28.8,28.8,47.17772215528148,47.127047910216724,NA,NA
1957,5,28,28,28.8,28.8,47.29596205882354,47.29596205882354,NA,NA
1957,6,28.11,28.1,28.9,28.9,47.48176762245079,47.46487620743035,NA,NA
1957,7,28.19,28.3,29,28.9,47.61689893943157,47.80270450464397,NA,NA
1957,8,28.28,28.3,29,29,47.76892167460536,47.80270450464397,NA,NA
1957,9,28.32,28.3,29.1,29.1,47.83648733468259,47.80270450464397,NA,NA
1957,10,28.32,28.3,29.2,29.2,47.83648733468259,47.80270450464397,NA,NA
1957,11,28.41,28.4,29.3,29.4,47.98851006826953,47.97161865325078,NA,NA
1957,12,28.47,28.4,29.3,29.4,48.089858558382026,47.97161865325078,NA,NA
1958,1,28.64,28.6,29.3,29.4,48.37701262603651,48.30944696594428,NA,NA
1958,2,28.7,28.6,29.4,29.4,48.47836111617485,48.30944696594428,NA,NA
1958,3,28.87,28.8,29.5,29.5,48.76551516831141,48.6472752631579,NA,NA
1958,4,28.94,28.9,29.5,29.5,48.8837550718502,48.81618941176471,NA,NA
