year,month,famsize,child_under18,pov_thresh_2020,over65
2020,1,1,0,13465,0
2020,1,2,0,17331,0
2020,1,2,1,17839,0
2020,1,3,0,20244,0
2020,1,3,1,20832,0
2020,1,3,2,20852,0
2020,1,4,0,26695,0
2020,1,4,1,27131,0
2020,1,4,2,26246,0
2020,1,4,3,26338,0
2020,1,5,0,32193,0
2020,1,5,1,32661,0
2020,1,5,2,31661,0
2020,1,5,3,30887,0
2020,1,5,4,30414,0
2020,1,6,0,37027,0
2020,1,6,1,37174,0
2020,1,6,2,36408,0
2020,1,6,3,35674,0
2020,1,6,4,34582,0
2020,1,6,5,33935,0
2020,1,7,0,42605,0
2020,1,7,1,42871,0
2020,1,7,2,41954,0
2020,1,7,3,41314,0
2020,1,7,4,40124,0
2020,1,7,5,38734,0
2020,1,7,6,37210,0
2020,1,8,0,47650,0
2020,1,8,1,48071,0
2020,1,8,2,47205,0
2020,1,8,3,46447,0
2020,1,8,4,45371,0
2020,1,8,5,44006,0
2020,1,8,6,42585,0
2020,1,8,7,42224,0
2020,1,9,0,57319,0
2020,1,9,1,57597,0
2020,1,9,2,56831,0
2020,1,9,3,56188,0
2020,1,9,4,55132,0
2020,1,9,5,53679,0
2020,1,9,6,52366,0
2020,1,9,7,52040,0
2020,1,9,8,50035,0
2020,1,10,0,57319,0
2020,1,10,1,57597,0
2020,1,10,2,56831,0
2020,1,10,3,56188,0
2020,1,10,4,55132,0
2020,1,10,5,53679,0
2020,1,10,6,52366,0
2020,1,10,7,52040,0
2020,1,10,8,50035,0
2020,1,10,9,50035,0
2020,1,11,0,57319,0
2020,1,11,1,57597,0
2020,1,11,2,56831,0
2020,1,11,3,56188,0
2020,1,11,4,55132,0
2020,1,11,5,53679,0
2020,1,11,6,52366,0
2020,1,11,7,52040,0
2020,1,11,8,50035,0
2020,1,11,9,50035,0
2020,1,11,10,50035,0
2020,1,12,0,57319,0
2020,1,12,1,57597,0
2020,1,12,2,56831,0
2020,1,12,3,56188,0
2020,1,12,4,55132,0
2020,1,12,5,53679,0
2020,1,12,6,52366,0
2020,1,12,7,52040,0
2020,1,12,8,50035,0
2020,1,12,9,50035,0
2020,1,12,10,50035,0
2020,1,12,11,50035,0
2020,1,13,0,57319,0
2020,1,13,1,57597,0
2020,1,13,2,56831,0
2020,1,13,3,56188,0
2020,1,13,4,55132,0
